signal_power_db,peak_power_db,papr_db,amplitude_mean,amplitude_std,amplitude_skewness,amplitude_kurtosis,phase_variance,phase_range,inst_freq_mean,inst_freq_std,freq_deviation,constellation_radius_std,iq_power_ratio_db,iq_correlation,spectral_centroid,spectral_bandwidth,spectral_rolloff,occupied_bandwidth,c20,c21,c40,c42,autocorr_peak_ratio,frame_index,modulation,snr_db
0.42052048,5.700263,5.2797427,0.9734365,0.39254636,-0.0817333236336708,-0.7527988,3.2374341,6.2681246,1377.0032,10448.475,88934.44,0.3739942,-0.33023858,-0.004280885110729975,9406.53735694913,14122.623254384418,33398.43749999999,12304.687499999998,(-0.04271060600876808-0.004058593884110451j),1.1016713,(0.08333572000265121+0.041348136961460114j),-0.62109745,0.97877496,1247718,128APSK,16
0.036796927,9.179567,9.142771,0.88516206,0.47433847,0.7141309976577759,0.37945795,3.1114054,6.271968,-1083.6129,56944.23,99992.81,0.47233325,-0.07461712,0.015554630990884171,48541.095826686585,28574.46792166673,94921.87499999999,99414.06249999999,(-0.00789893139153719+0.015334654599428177j),1.0085088,(0.1960573047399521-0.2298300564289093j),0.07807279,0.05905748,1178897,128APSK,-18
0.033832338,5.4713826,5.43755,0.92089176,0.3997237,0.008101689629256725,-0.94727635,3.5149837,6.2697835,539.6558,9622.965,81349.01,0.3981698,0.13257618,0.04497906115058293,8555.168587047387,12804.303833295784,27539.062499999996,12304.687499999998,(0.006011399440467358+0.04756996035575867j),1.0078206,(0.002176615409553051-0.17874418199062347j),-0.4472227,0.9835637,1269741,128APSK,26
0.024144424,6.020728,5.9965835,0.922661,0.39277422,0.09862785041332245,-0.7380178,3.214351,6.2659087,1326.1388,10266.122,90825.85,0.3916839,-0.06830431,-0.018306476156670488,8690.069975670445,13924.625448653407,29492.187499999996,13085.937499999998,(-0.02263825386762619-0.008705100044608116j),1.005575,(-0.10342451930046082+0.16114439070224762j),-0.4343506,0.9808455,1247414,128APSK,16
-0.07936757,6.0072775,6.086645,0.9070016,0.39904758,0.022382371127605438,-0.6713786,3.4302711,6.2687607,159.48662,11190.14,96393.46,0.40271056,0.86690336,0.11127074946073548,8909.18511206259,12979.506463598123,29296.874999999996,13281.249999999998,(0.09149616956710815+0.10935986042022705j),0.9818909,(0.15438619256019592+0.08508403599262238j),-0.4215982,0.9800579,1271015,128APSK,28
-0.020942722,6.244747,6.26569,0.9088999,0.41120598,0.0800415575504303,-0.8136742,3.3692029,6.2767444,270.54965,12284.628,95279.04,0.41219863,-0.07510486,-0.010341210416885268,9271.758257542686,13643.896259329013,31640.624999999996,12890.624999999998,(-0.02083689533174038-0.012393140234053135j),0.99518937,(-0.14151020348072052-0.26667913794517517j),-0.37809575,0.97786593,1276589,128APSK,30
0.10483719,6.2651777,6.1603403,0.9194571,0.423122,0.17277643084526062,-0.580904,3.4671645,6.278847,-485.29932,11847.636,91982.52,0.41804564,0.2934785,-0.01329071920223769,11144.492211041414,17324.724468920806,56249.99999999999,13671.874999999998,(0.040298521518707275-0.014385340735316277j),1.0244334,(-0.36233222484588623-0.10548451542854309j),-0.35225642,0.9758926,1244013,128APSK,14
-0.097982,7.8575225,7.9555044,0.8867262,0.43750206,0.478840708732605,-0.039036512,3.1420462,6.245177,-3929.8364,38385.74,99311.86,0.44246528,-0.2930651,0.09636701292595443,40862.17376392591,31678.834697144674,93945.31249999999,98632.81249999999,(-0.034130118787288666+0.09376728534698486j),0.9776914,(0.0796559751033783-0.10951583832502365j),-0.14976346,0.53326666,1215319,128APSK,0
-0.1609532,5.4502463,5.6111994,0.9012681,0.38901594,-0.004327649716287851,-0.86889195,2.9906707,6.267251,-40.721073,10164.25,94696.32,0.3962918,-0.20996389,-0.0012852380483737665,8993.477159753907,14390.261927635098,33203.12499999999,13671.874999999998,(-0.051282647997140884+0.0011435672640800476j),0.9636175,(-0.0568070113658905-0.08697911351919174j),-0.41450107,0.9819412,1248626,128APSK,16
-0.15233728,8.446196,8.598533,0.87301874,0.45096478,0.6220031380653381,0.17210746,3.125392,6.269701,1881.2792,56746.22,99968.22,0.45894378,-0.00051438465,0.016411963705971505,48846.909920254606,28852.186329907872,94335.93749999999,99218.74999999999,(3.245193511247635e-05+0.018002154305577278j),0.9655311,(-0.048886146396398544-0.08850361406803131j),-0.023530602,0.041694008,1183368,128APSK,-16
0.20772439,8.613747,8.406022,0.9119525,0.46619225,0.5844379663467407,0.04386592,3.264929,6.2544136,-2190.26,57169.11,99977.94,0.45517546,0.37735796,-0.010000223361046494,48168.55200225505,29512.043830749284,95507.81249999999,99414.06249999999,(0.04180505871772766-0.010726461187005043j),1.0489926,(-0.01293154340237379-0.19887417554855347j),-0.06670761,0.07920745,1196336,128APSK,-8
0.31510666,5.255504,4.9403973,0.94814885,0.41984138,-0.12168338894844055,-1.0803839,3.2884738,6.2754574,669.6426,10859.551,96282.51,0.40488335,0.30181226,0.013154673892319776,10400.090422119783,16010.71032392152,47460.93749999999,13085.937499999998,(0.036902498453855515+0.014188806526362896j),1.075253,(-0.08983272314071655+0.05291281268000603j),-0.5294666,0.9813164,1245737,128APSK,16
-0.0010655972,6.803348,6.804414,0.90810585,0.4184477,0.1334327906370163,-0.66024685,3.4567938,6.2769203,-617.5443,15439.277,99786.516,0.41849902,0.8036798,0.13051530603333236,19587.369895685268,25588.145946648045,83398.43749999999,77343.74999999999,(0.07922175526618958+0.12539038062095642j),0.99975467,(0.14189541339874268-0.09667640924453735j),-0.36733544,0.9561616,1232391,128APSK,8
-0.060012326,6.4193707,6.479383,0.90992725,0.39788073,0.07341641932725906,-0.6492543,3.0862103,6.267459,-353.1157,12185.96,77691.21,0.40063927,-1.0015095,0.1089998555043102,15961.724929539678,23332.408471255116,77734.37499999999,51562.49999999999,(-0.11274413764476776+0.10823602974414825j),0.9862767,(-0.029384706169366837+0.17314046621322632j),-0.42218542,0.9724547,1235407,128APSK,10
-0.18248992,5.473056,5.6555457,0.8925512,0.40274444,0.03936938941478729,-0.9610598,3.8154511,6.2700577,422.3851,10840.279,92314.68,0.41129562,0.88089395,0.004423371117280077,10241.206092338502,15217.264598207472,42578.12499999999,13671.874999999998,(0.11485447734594345+0.00279037281870842j),0.95885074,(-0.14020946621894836-0.0007293527014553547j),-0.37920284,0.9795318,1249516,128APSK,18
0.25816616,9.217201,8.959035,0.9233722,0.45676166,0.541418731212616,0.24514818,3.2932043,6.2465744,1077.6154,38631.785,99947.83,0.44338533,-0.4654665,-0.07040478544832478,39242.80644199816,31183.654632306436,92578.12499999999,98828.12499999999,(-0.061935633420944214-0.07202993333339691j),1.0612473,(-0.04244158789515495-0.04155498743057251j),-0.13545299,0.540517,1213700,128APSK,0
0.54163975,6.217654,5.6760144,0.97862345,0.4184783,0.06003057211637497,-0.7404256,3.3724682,6.260508,-495.2715,10579.87,97830.46,0.3931796,-0.087221205,0.08958949395153726,8320.663711249486,12179.967569210648,22851.562499999996,13085.937499999998,(-0.03717711567878723+0.12773525714874268j),1.132828,(-0.010035891085863113+0.15383391082286835j),-0.5742792,0.98148775,1261574,128APSK,24
-0.39169922,6.0427027,6.434402,0.8710132,0.39381668,0.11670466512441635,-0.86159515,2.9342914,6.2698092,-530.4764,11273.1875,94101.79,0.41198277,-0.26637805,-0.09150680972668064,9548.917803338843,13536.544614190774,31640.624999999996,13671.874999999998,(-0.04824470356106758-0.06731590628623962j),0.91375566,(0.09177682548761368-0.08354786038398743j),-0.3189417,0.9787617,1269778,128APSK,28
0.16145524,5.5513315,5.3898764,0.93124866,0.41310066,0.021938253194093704,-0.9304929,3.4829903,6.2674365,-403.31644,11219.273,91689.19,0.40549272,-0.7374979,-0.009842025929259101,8639.874127261159,12340.589882557839,22851.562499999996,13085.937499999998,(-0.08545258641242981-0.024716004729270935j),1.0378761,(0.08286285400390625+0.11007772386074066j),-0.45621789,0.97710645,1256394,128APSK,20
-0.21676096,6.086678,6.303439,0.8951002,0.38743994,0.17860233783721924,-0.4011488,3.2649496,6.276385,-158.88025,22178.324,99226.68,0.39723036,0.08112523,-0.012356762809317778,28798.302543831334,29897.030967997667,89843.74999999999,95117.18749999999,(0.005974806845188141-0.014250406064093113j),0.95131403,(0.06010862812399864-0.26906388998031616j),-0.3509457,0.86134446,1223341,128APSK,4
0.077253014,9.189334,9.112081,0.9010099,0.45401362,0.527259349822998,0.051005602,3.3869457,6.2792916,-449.4964,48511.402,99332.92,0.4499935,0.2884281,-0.005511520677696682,44697.71748056998,31342.37499764133,95312.49999999999,99218.74999999999,(0.03188249096274376-0.0036353515461087227j),1.0179473,(0.0368955098092556+0.07134786248207092j),-0.102909565,0.31614837,1209083,128APSK,-2
0.089864545,5.708036,5.618171,0.9307799,0.39313656,-0.0644441694021225,-0.6644633,3.511247,6.279047,355.45517,10968.596,96580.98,0.38909015,0.39959547,0.05749053597433484,9003.053416530951,13193.687547413507,29687.499999999996,13085.937499999998,(0.03140490502119064+0.06672509014606476j),1.0209076,(-0.08976627886295319+0.2292482554912567j),-0.4947666,0.9802223,1259344,128APSK,22
0.0551806,8.901778,8.846598,0.88743615,0.47459868,0.6272164583206177,0.30243635,3.3917053,6.265438,-818.16815,48290.504,99952.18,0.47159314,0.3138782,-0.013324403495275972,44944.601157261204,31025.87507849799,94140.62499999999,99023.43749999999,(0.028614193201065063-0.018610339611768723j),1.0127869,(-0.11769630014896393+0.1367221176624298j),0.037477493,0.31112006,1212209,128APSK,-2
0.1276905,8.339556,8.211865,0.89813083,0.47243974,0.5971783399581909,0.046061993,3.4004433,6.2803345,163.06029,57704.73,99810.914,0.46554527,-0.38635507,0.05273993588087892,49797.72333806833,28896.260372390174,94140.62499999999,99023.43749999999,(-0.04644342511892319+0.05771881341934204j),1.0298383,(0.039048708975315094-0.15080177783966064j),-0.017733812,0.03309281,1174138,128APSK,-20
0.048591573,9.300382,9.25179,0.891623,0.4650377,0.644141435623169,0.37272882,3.1225753,6.273118,510.0698,58542.33,99879.266,0.4624434,0.04114694,0.021119995229976898,50910.473438387606,29036.013042149996,94335.93749999999,98632.81249999999,(0.005617760121822357+0.020954299718141556j),1.0112514,(-0.10817968845367432-0.07735391706228256j),0.006608486,0.06496726,1183442,128APSK,-16
0.0022349372,6.2600207,6.257786,0.9190455,0.394804,0.04730561003088951,-0.71602464,3.2810745,6.2780647,-296.9312,13594.965,98348.055,0.39470243,0.25346428,-0.03297809664464206,20306.415456925137,26243.202832453237,84374.99999999999,79687.49999999999,(0.029376881197094917-0.03268381580710411j),1.0005147,(0.000762706680689007+0.03642047196626663j),-0.43444443,0.95946836,1228911,128APSK,8
0.027557563,7.7671585,7.739601,0.8890554,0.46469995,0.6770246624946594,0.07360697,3.353611,6.2747984,-493.67136,55630.465,99976.87,0.46322793,0.15361111,0.07115780707822551,47875.35773720766,29340.551884966193,94726.56249999999,99023.43749999999,(0.017606601119041443+0.07153347879648209j),1.0063655,(-0.14468124508857727+0.007606299594044685j),0.0028588772,0.09419977,1203726,128APSK,-6
0.11118456,6.2332916,6.122107,0.94035804,0.37637553,-0.010874524712562561,-0.59326625,3.6667552,6.280381,-137.01872,11284.37,99585.06,0.3715884,0.75721407,0.03045811184263841,12630.172572293,19152.96321291042,64453.12499999999,14453.124999999998,(0.09231355041265488+0.033391859382390976j),1.0259317,(0.1726779043674469+0.008988859131932259j),-0.5350648,0.977431,1239985,128APSK,12
0.11630256,8.912704,8.796402,0.89322114,0.47885025,0.6457703709602356,0.1994009,3.144187,6.2628183,-1789.7616,58335.688,99903.195,0.47248128,0.2708184,0.0025150626754864114,49699.984947924924,28720.515084132654,95117.18749999999,98632.81249999999,(0.03336077183485031+0.0008002500981092453j),1.0271415,(-0.0421435572206974-0.24773436784744263j),0.044615746,0.044932578,1174289,128APSK,-20
0.08482544,8.053215,7.9683895,0.8980028,0.46186003,0.4471658766269684,-0.24049664,3.4846797,6.2735043,-2713.4575,52717.82,99669.76,0.4573715,0.1790729,-0.029083380004039622,46545.15213242555,30871.577519470917,95117.18749999999,99609.37499999999,(0.019440583884716034-0.03397839516401291j),1.0197238,(0.03703203797340393+0.11624640226364136j),-0.114982486,0.2087425,1205813,128APSK,-4
-0.10671853,8.042807,8.149525,0.8791752,0.45030835,0.5101332664489746,-0.049495697,3.155727,6.270709,-468.75037,47766.58,99905.875,0.45587516,0.38777888,0.03757312434652184,43830.59615620866,30840.056443259047,94335.93749999999,98828.12499999999,(0.044954679906368256+0.035708244889974594j),0.9757266,(0.09405611455440521+0.0025564180687069893j),-0.08437562,0.31044075,1210368,128APSK,-2
-0.058808845,9.21516,9.27397,0.8818878,0.45697266,0.6268698573112488,0.2993741,3.371328,6.273944,-504.36664,56844.934,99952.805,0.46007714,-0.24534148,0.03294023168913038,49785.070818213215,29114.65883345125,95703.12499999999,99414.06249999999,(-0.026543624699115753+0.03204447776079178j),0.98655003,(0.08301465958356857-0.02825482375919819j),-0.014091969,0.06312949,1192982,128APSK,-10
-0.016009398,8.464572,8.480581,0.8805143,0.4701224,0.6808804869651794,0.22244072,3.4079123,6.279312,-145.0771,56474.3,99880.19,0.47098967,0.2090898,0.026084119459288357,49130.459262466364,29523.77301446132,94726.56249999999,98828.12499999999,(0.02507137507200241+0.02626976929605007j),0.9963205,(-0.1815827637910843-0.19195115566253662j),0.04917729,0.059804033,1198884,128APSK,-8
0.28368804,7.0706606,6.7869725,0.93382764,0.44211802,0.259357750415802,-0.5949311,3.2480495,6.27781,-878.7411,23729.758,98783.234,0.42791134,0.88235444,0.10317385870413075,29347.91229980447,30410.62301719856,90039.06249999999,94921.87499999999,(0.10799519717693329+0.11001108586788177j),1.0675023,(0.154250368475914+0.1235211044549942j),-0.34409916,0.88128895,1223293,128APSK,4
-0.021083701,8.224901,8.245985,0.88837063,0.45382243,0.5335445404052734,0.14513326,3.0307288,6.268692,-608.0926,47842.637,99957.54,0.45492536,-0.353422,-0.001739130689308264,44534.332846969846,30810.817267029735,94140.62499999999,99414.06249999999,(-0.03613737225532532+0.0037849079817533493j),0.99515706,(0.07362361252307892+0.005264670122414827j),-0.07329905,0.33264855,1208854,128APSK,-2
0.3300695,5.6895,5.3594303,0.9587208,0.39977282,-0.11315369606018066,-0.84468174,3.4642034,6.2696657,-939.53815,10592.587,94865.586,0.38486624,-0.946399,0.06480159893952954,8454.349798742836,11999.302141683604,21093.749999999996,13476.562499999998,(-0.12410397082567215+0.07845291495323181j),1.078964,(0.12060491740703583+0.23725152015686035j),-0.5963502,0.9795571,1259463,128APSK,22
-0.15274374,7.195682,7.348426,0.8747921,0.44741422,0.6202363967895508,0.080476046,3.3726714,6.2795534,-977.15295,58682.99,99823.18,0.4553517,0.12292612,0.018050979214655528,49709.780316339515,28767.810284910473,94921.87499999999,98632.81249999999,(0.013719454407691956+0.016819752752780914j),0.96544075,(-0.0001704416354186833+0.007748791947960854j),-0.042040348,0.031950686,1178432,128APSK,-18
-0.042398605,5.5085034,5.550902,0.92009974,0.3790796,-0.025068385526537895,-0.69545555,3.0511234,6.2648344,-165.36963,10899.155,87939.945,0.38093454,-0.3396806,0.010017492790929474,10399.837822748941,16308.701190265636,49218.74999999999,13867.187499999998,(-0.0347035750746727+0.004497414454817772j),0.99028486,(0.0287757720798254-0.04838110879063606j),-0.4733547,0.9774915,1244852,128APSK,14
0.005101715,7.8304186,7.825317,0.894534,0.44831282,0.4386224150657654,-0.32190156,3.078474,6.2508793,-599.9655,41325.23,99968.41,0.44804958,-0.68452704,-0.01367132070242792,40706.267918966885,30749.489785656628,92968.74999999999,98046.87499999999,(-0.07694663852453232-0.013288711197674274j),1.0011754,(0.05713954195380211-0.17710533738136292j),-0.15594602,0.5209526,1215228,128APSK,0
-0.008527439,8.551331,8.559858,0.8853781,0.46275705,0.6801387667655945,0.4172914,3.4121199,6.241754,679.4431,57795.11,99997.8,0.46321163,0.07105751,-0.009755052678577522,49233.839422734825,28957.344338522853,94531.24999999999,98828.12499999999,(0.01035916619002819-0.009196601808071136j),0.9980384,(-0.1242498978972435-0.1129550114274025j),0.024740338,0.040141523,1185115,128APSK,-14
-0.023677347,5.7531195,5.776797,0.91731334,0.39127895,0.11620670557022095,-0.7543545,3.0168996,6.277748,119.997986,9176.818,74298.83,0.392347,0.54274786,0.04812935077582551,10342.81204242665,16087.045501602599,47265.62499999999,13671.874999999998,(0.06678646057844162+0.04882226884365082j),0.9945629,(0.04776730388402939-0.23737004399299622j),-0.4259498,0.9814789,1277813,128APSK,30
-0.055488013,8.535954,8.591442,0.8809089,0.4596783,0.6320247054100037,0.22692299,3.3644638,6.2717876,197.30487,56646.027,99606.59,0.46262422,-0.11588235,0.03796172090002849,48816.16791846456,29446.172497493975,94726.56249999999,98828.12499999999,(-0.013250334188342094+0.038317762315273285j),0.9873047,(0.18313749134540558+0.2655384838581085j),-0.0047798157,0.051320944,1198354,128APSK,-8
0.11466211,8.038445,7.9237833,0.90307915,0.45956674,0.5292745232582092,-0.038399458,3.3473182,6.275501,265.05103,47101.336,99512.016,0.45353985,0.29297084,-0.008750664327769365,43516.065559291856,30759.166265113967,94140.62499999999,98632.81249999999,(0.03456849604845047-0.009403642266988754j),1.0267535,(-0.029499903321266174+0.05711355060338974j),-0.0934515,0.33733776,1212025,128APSK,-2
