modulation,samples,avg_signal_power_db,avg_papr_db,avg_occupied_bandwidth,constellation_stability,avg_snr_db
128APSK,1000,0.011723861,7.024455,61070.117187499985,2.37184,5.416
128QAM,1000,0.006785642,7.1006455,64269.335937499985,2.3792818,4.556
16APSK,1000,0.011428995,6.651256,61260.937499999985,2.5025227,5.304
16PSK,1000,0.014416431,6.3028116,62731.445312499985,2.7300358,5.038
16QAM,1000,0.015033323,7.0346913,62673.046874999985,2.4080474,4.892
256QAM,1000,0.0007589787,7.1816583,62074.609374999985,2.372418,5.256
32APSK,1000,0.009277935,7.03397,61119.921874999985,2.3129733,5.75
32PSK,1000,0.013269809,6.326756,62894.531249999985,2.7155914,5.16
32QAM,1000,0.017450292,6.8559155,60677.929687499985,2.4215238,5.966
4ASK,1000,2.8038604,7.3448014,60096.484374999985,2.0006223,4.698
64APSK,1000,0.018922726,6.860549,60793.945312499985,2.4147751,5.502
64QAM,1000,0.005184865,7.062045,60420.898437499985,2.3867738,5.508
8ASK,1000,3.2187607,7.2655296,59658.789062499985,2.0817857,4.6
8PSK,1000,0.014722039,6.248014,61847.070312499985,2.752533,5.594
AM-DSB-SC,1000,9.16974,4.808282,53002.148437499985,3.912026,5.436
AM-DSB-WC,1000,9.739797,4.8841004,56679.687499999985,3.9125113,4.552
AM-SSB-SC,1000,0.003838931,6.265899,55163.281249999985,2.2272015,5.278
AM-SSB-WC,1000,-0.0012193361,6.086422,55205.859374999985,2.235579,5.044
BPSK,1000,0.007891307,6.723406,63895.117187499985,2.290075,4.696
FM,1000,0.0014422794,4.717732,56261.718749999985,4.188315,5.14
GMSK,1000,0.013588869,5.264215,64060.937499999985,3.638104,4.46
OOK,1000,2.0192647,7.085491,58714.062499999985,1.8549912,5.296
OQPSK,1000,0.0079470435,6.373547,61905.078124999985,2.464466,5.198
QPSK,1000,0.016825488,6.4548907,65304.296874999985,2.6778905,4.334
